GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
PPARG,5.59036553698832,6.50385694452877,5.49572159770434,8.68750712568104,7.01618309732044,5.38558511684606,6.65676992990284,8.07637290393801,5.78290245532936,7.73423704757676,9.19885837068401,10.3921197136567
PSMD4,8.629323779489976,8.795774457614268,8.333364823796078,8.673229248015115,8.632132066463669,8.439355902491627,8.604130565488859,9.052669652734938,8.770734521145243,8.742075040036305,8.908184308266351,8.624543552051765
RB1,5.805371769958175,5.54371319758004,6.050744206662705,5.8762727842569245,5.889662792651805,5.165139467545005,5.88197950612816,5.54965494609263,5.90732177597151,5.731353709767615,5.83308629851241,5.97071886381336
REL,6.947851919830479,5.52212218844642,5.634131576964405,6.225359738322754,6.2598617956639675,5.422316852862972,5.857317260071523,5.846130133072996,5.64198451236153,5.20705838543158,5.848243747452876,5.69216854855874
RELA,7.9387032991273845,6.987540493996935,7.38940267521463,8.214112938694624,7.72121499146829,6.904628731519095,7.299456497928604,7.306758190184345,7.26432391541627,7.41237183611187,7.394716853668765,7.828712991951445
RXRA,6.956021688995975,8.057985130212385,7.02671364137809,7.676190434054895,7.44708910812817,7.550112324970826,7.040989066110704,7.96652339922597,7.5496883412524,7.913101456555735,8.06178653301414,8.423985126127064
S100A10,9.89868595421521,8.623486536656024,7.425417775229519,9.767887565530025,10.242238244686245,7.6487748680875,9.15439740248525,8.481541794792685,8.35914429882346,10.019288971576346,9.287241139131405,10.016058013664244
SAT1,10.978304317676432,10.49357493573985,9.35901603207653,10.45232634053992,10.902170578734038,9.478145593028886,10.651479698592274,10.169472246196781,10.015570288027865,10.34591000119953,10.591820340331797,10.649490146483691
SERPINA3,8.441032061659,10.3308058056845,8.75165001745944,10.4775480285546,10.9455867759511,10.796102528422,11.1016831498799,10.0466506035833,11.0303593479596,10.171895589588,10.1965673307995,8.54313897777691
SETDB1,6.33780533447483,6.046101917492975,6.52226806746669,6.502296392477945,6.2905079988028145,6.285281437919265,5.9887080689243,6.30975668926963,6.17854516330957,6.2178838736355395,6.587524185046835,5.7866907643320005
SLC3A2,8.58998678951494,7.86280467683484,7.62587899737606,8.86791753733983,8.44764347519589,7.66690333406167,7.85643092869472,8.00293904843024,8.27716923498939,7.35632166945906,8.08319929195943,8.02503962365663
SMAD3,5.912401542678612,6.04565144408577,6.527782924828785,6.33960947271637,6.377430041446715,6.44452815598442,6.241288274186685,6.283150900156031,6.1231535966381125,6.628252692048518,6.62696421542068,6.6856795500151875
SMAD4,5.5571013880457745,5.2283857813802115,5.175668841030534,5.971549730397216,5.597064522931321,5.330816349155127,5.307915849336451,5.579396836461072,5.58143274062188,5.363829358985132,5.6179075252394775,5.704120143443628
SOD1,10.4264041697964,11.3818203463889,10.8670906130145,11.5697502400967,11.5488305369741,11.4444721180484,11.0776213239749,11.4128329686173,11.2657614201659,11.3747028637081,11.6939108614731,11.4431391768821
SQSTM1,7.257434668394315,7.852589568663687,7.014900184381305,7.448683492175462,8.07470156482373,7.550170602031508,7.417671034452885,7.698639461156692,7.479038736479805,7.482829362167055,7.603646009417277,7.5358940983606475
ST14,6.37815595321493,6.713206553541113,6.011070087826741,6.52865951092749,6.6756049377891635,6.018574815847444,6.513274981418533,6.415951730398887,6.648281665330224,5.86346478260355,6.0109864100718235,5.540204631292027
STAT1,8.789104926698451,6.149088812042462,7.131041116130127,6.91686814658069,6.555256471609884,6.46788843536497,6.38495726778807,6.473334456856265,6.331866126682659,6.940772405702148,6.498745954119261,6.621616299661178
